iso3,country,year,inflation_pct,fx_lcu_per_usd,gdp_per_capita_usd,fx_depreciation_pct,trends_USDT,trends_bitcoin,trends_crypto,trends_dollar,chainalysis_rank,chainalysis_score,is_hyperinflation,is_fx_crisis,trends_bitcoin_norm,trends_USDT_norm,trends_crypto_norm,crypto_demand_score,inflation_norm,fx_norm,currency_stress_score
IND,India,2023,5.4,82.5992764460784,2530.12031278204,5.082134409190098,40.833333333333336,16.416666666666668,24.83333333333333,76.91666666666667,,,False,False,0.1298701298667567,0.5839416058308914,0.5020080321164174,0.38592630070234274,0.38095238077097526,0.8089679745602338,0.5949601776656046
IND,India,2024,4.6,83.669281580941,2694.73780859961,1.2954170797865316,69.33333333333333,23.916666666666668,41.333333333333336,54.25,,,False,False,0.3246753246668917,0.9999999999854015,0.8995983935526203,0.7097898085714414,0.0,0.23392613176855334,0.11696306588427667
IRN,Iran,2019,34.8,,3997.4935449585,,,,4.75,85.75,,,False,False,,,0.0,,0.17293233081406506,,
IRN,Iran,2020,36.5,,3202.50003502169,,,,7.0,64.66666666666667,,,False,False,,,0.055555555554183816,,0.30075187967663525,,
IRN,Iran,2021,40.2,,4605.14881318992,,,,26.666666666666668,61.41666666666666,,,False,False,,,0.5411522633611239,,0.5789473683775231,,
IRN,Iran,2022,45.8,,4721.20437099984,,,,31.75,79.75,,,False,False,,,0.6666666666502058,,0.999999999924812,,
IRN,Iran,2023,40.7,,5049.29931642754,,,,21.83333333333333,67.83333333333333,,,False,False,,,0.4218106995780622,,0.6165413533371025,,
IRN,Iran,2024,32.5,,5190.16959024821,,,,45.25,55.0,,,False,False,,,0.9999999999753088,,0.0,,
NGA,Nigeria,2019,11.4,306.920951495222,3189.81286498516,16.906583115386553,0.0833333333333333,32.5,4.916666666666667,14.166666666666666,2.0,0.61,False,False,0.0,0.0,0.0,0.0,0.0,0.08710754617919568,0.04355377308959784
NGA,Nigeria,2020,13.2,358.810797258297,2797.18458068686,16.906583115386553,1.6666666666666667,61.16666666666666,14.166666666666666,24.166666666666668,2.0,0.61,False,False,0.7962962962741768,0.02420382165568096,0.11935483870813735,0.35207101491357057,0.08999999999549994,0.08710754617919568,0.08855377308734781
NGA,Nigeria,2021,17.0,401.152029220779,2787.48779224428,11.8004341803577,12.416666666666666,65.41666666666667,46.333333333333336,25.666666666666668,2.0,0.61,False,False,0.9143518518264534,0.18853503184425166,0.534408602143642,0.5480364738970105,0.279999999986,0.045607299513101066,0.16280364974955053
NGA,Nigeria,2022,18.8,425.979158066857,2899.16047470324,6.188957561626607,37.583333333333336,68.5,68.91666666666667,38.833333333333336,2.0,0.61,False,False,0.9999999999722223,0.573248407634549,0.8258064516022476,0.7944606533631582,0.3699999999815,0.0,0.18499999999075
NGA,Nigeria,2023,24.7,645.194067883201,2138.76383719983,51.4614167536193,30.75,53.083333333333336,53.0,41.41666666666666,2.0,0.61,False,False,0.5717592592433772,0.4687898089100312,0.6204301075188762,0.5403056487651386,0.66499999996675,0.3679521000179723,0.5164760499923611
NGA,Nigeria,2024,31.4,1478.96519740023,1084.16041805436,129.22795962035502,65.5,50.91666666666666,82.41666666666667,56.75,2.0,0.61,False,True,0.5115740740598634,0.9999999999847133,0.9999999999870968,0.8046296296152501,0.99999999995,0.9999999999918725,0.9999999999709362
TUR,Turkey,2019,15.2,5.67381930843574,9395.23378001368,23.52535452027775,,,,,11.0,0.34,False,False,,,,,0.048333333332527754,0.0,0.024166666666263877
TUR,Turkey,2020,12.3,7.00860541558522,8798.11791709313,23.52535452027775,,,,,11.0,0.34,False,False,,,,,0.0,0.0,0.0
TUR,Turkey,2021,19.6,8.85040754928315,9981.76398411336,26.279152905402057,,,,,11.0,0.34,False,False,,,,,0.1216666666646389,0.04339505390771172,0.08253086028617532
TUR,Turkey,2022,72.3,16.5488604173067,10897.8397861365,86.98416231292192,,,,,11.0,0.34,False,False,,,,,0.9999999999833334,0.9999999999842418,0.9999999999837876
TUR,Turkey,2023,53.9,23.7385661219918,13375.0947282864,43.44532205472076,,,,,11.0,0.34,False,False,,,,,0.6933333333217777,0.3139039043913165,0.5036186188565471
TUR,Turkey,2024,58.5,32.8058614432703,15892.7157287241,38.1964743560413,,,,,11.0,0.34,False,False,,,,,0.7699999999871667,0.2311912301200364,0.5005956150536015
USA,United States,2019,1.8,1.0,64746.4506778863,0.0,3.8333333333333335,18.58333333333333,4.333333333333333,82.41666666666667,,,False,False,0.0,0.0,0.0,0.0,0.07462686566050344,0.0,0.03731343283025172
USA,United States,2020,1.3,1.0,63515.9491807833,0.0,6.75,23.08333333333333,5.833333333333333,82.08333333333333,,,False,False,0.10227272727040289,0.06205673758733213,0.03435114503738128,0.07260201495057027,0.0,0.0,0.0
USA,United States,2021,4.7,1.0,70205.050916026,0.0,47.5,62.583333333333336,48.0,79.58333333333333,,,False,False,0.9999999999772728,0.9290780141646295,0.9999999999770993,0.9716312056521809,0.5074626864914236,0.0,0.2537313432457118
USA,United States,2022,8.0,1.0,76657.2488844403,0.0,45.66666666666666,37.66666666666666,31.75,82.5,,,False,False,0.433712121202264,0.8900709219668778,0.627862595405469,0.6550857363487506,0.9999999998507463,0.0,0.49999999992537314
USA,United States,2023,4.1,1.0,81032.262117545,0.0,36.75,23.5,17.333333333333332,82.41666666666667,,,False,False,0.11174242423988474,0.7003546099141769,0.29770992365730437,0.38438079839308553,0.4179104476988193,0.0,0.20895522384940965
USA,United States,2024,3.0,1.0,84534.0407841548,0.0,50.833333333333336,36.41666666666666,24.916666666666668,76.41666666666667,,,False,False,0.40530303029381876,0.9999999999787235,0.471374045790732,0.6563960212671633,0.2537313432457117,0.0,0.12686567162285586
VEN,Venezuela,2019,19906.0,,2523.11275230667,99.9,0.25,28.25,4.833333333333333,71.83333333333333,13.0,0.31,True,False,0.1582867783949731,0.0,0.0,0.06331471135798925,0.9999999999999496,0.9999999999828327,0.9999999999913911
VEN,Venezuela,2020,2355.1,,1506.0436210041,99.9,2.0,38.16666666666666,8.0,57.333333333333336,13.0,0.31,True,False,0.37988826814793525,0.034768211919839045,0.07436399217046506,0.18073539046120274,0.11613536788033861,0.9999999999828327,0.5580676839315857
VEN,Venezuela,2021,1588.5,,2004.93397949792,99.9,41.91666666666666,65.91666666666667,47.41666666666666,32.583333333333336,13.0,0.31,True,False,0.9999999999776538,0.827814569519977,0.9999999999765167,0.9311258277943557,0.07752933474341152,0.9999999999828327,0.5387646673631221
VEN,Venezuela,2022,186.5,,3155.04207099687,99.9,50.583333333333336,38.333333333333336,28.416666666666668,23.166666666666668,13.0,0.31,False,False,0.3836126629336996,0.9999999999801326,0.5538160469537267,0.6642082745562783,0.006924510248274818,0.9999999999828327,0.5034622551155538
VEN,Venezuela,2023,337.5,,3617.43594578269,99.9,30.25,21.25,13.75,19.0,13.0,0.31,False,False,0.0018621973928820102,0.5960264900543836,0.2093933463747306,0.28103414425385237,0.014528881502743892,0.9999999999828327,0.5072644407427883
VEN,Venezuela,2024,49.0,,4217.59102643391,41.65,41.333333333333336,21.166666666666668,17.916666666666668,16.916666666666668,13.0,0.31,False,False,0.0,0.8162251655466976,0.3072407044937636,0.38793820711743177,0.0,0.0,0.0
